step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,imbalance_active,upsilon_beta_ratio,convergence_error,phase_limit,structural_deviation,emission_count,psi_transformed,microtick_phase
7,8,1,1,1,1,12304,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
7,9,1,1,1,1,12447,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
7,10,1,1,1,1,12590,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
7,11,1,1,1,1,12733,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
8,1,1,1,1,1,12876,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
8,2,1,1,1,1,13019,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
8,3,1,1,1,1,13162,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
8,4,1,1,1,1,13305,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
8,5,1,1,1,1,13448,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
8,6,1,1,1,1,13591,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
8,7,1,1,1,1,13734,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
8,8,1,1,1,1,13877,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
8,9,1,1,1,1,14020,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
8,10,1,1,1,1,14163,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
8,11,1,1,1,1,14306,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
9,1,1,1,1,1,14449,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
9,2,1,1,1,1,14592,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
9,3,1,1,1,1,14735,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
9,4,1,1,1,1,14878,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
9,5,1,1,1,1,15021,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
9,6,1,1,1,1,15164,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
9,7,1,1,1,1,15307,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
9,8,1,1,1,1,15450,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
9,9,1,1,1,1,15593,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
9,10,1,1,1,1,15736,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
9,11,1,1,1,1,15879,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
10,1,1,1,1,1,16022,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
10,2,1,1,1,1,16165,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
10,3,1,1,1,1,16308,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
10,4,1,1,1,1,16451,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
10,5,1,1,1,1,16594,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
10,6,1,1,1,1,16737,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
10,7,1,1,1,1,16880,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
10,8,1,1,1,1,17023,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
10,9,1,1,1,1,17166,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
10,10,1,1,1,1,17309,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
10,11,1,1,1,1,17452,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
11,1,1,1,1,1,17595,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
11,2,1,1,1,1,17738,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
11,3,1,1,1,1,17881,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
11,4,1,1,1,1,18024,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
11,5,1,1,1,1,18167,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
11,6,1,1,1,1,18310,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
11,7,1,1,1,1,18453,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
11,8,1,1,1,1,18596,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
11,9,1,1,1,1,18739,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
11,10,1,1,1,1,18882,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
11,11,1,1,1,1,19025,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
12,1,1,1,1,1,19168,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
12,2,1,1,1,1,19311,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
12,3,1,1,1,1,19454,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
12,4,1,1,1,1,19597,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
12,5,1,1,1,1,19740,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
12,6,1,1,1,1,19883,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
12,7,1,1,1,1,20026,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
12,8,1,1,1,1,20169,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
12,9,1,1,1,1,20312,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
12,10,1,1,1,1,20455,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
12,11,1,1,1,1,20598,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
13,1,1,1,1,1,20741,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
13,2,1,1,1,1,20884,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
